State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), EPA Region, NERC Region, County, County Code, FIPS Code, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
AL,Charles R Lowman,56,3,"MS03C, MS03D",2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Washington County,AL129,129,Electric Utility,31.4858,-87.9106,"PowerSouth Energy Cooperative, Inc.","PowerSouth Energy Cooperative, Inc.",David H Powell (607466),Keith M Stephens (838),Phase 2,Early Election,Dry bottom wall-fired boiler,Coal,,Wet Limestone,Selective Catalytic Reduction<br>Overfire Air,Electrostatic Precipitator,,5/1/80,Operating,3010
AL,Colbert,47,1,CSCO14,2016,"CSNOX, CSSO2G2, ARP, MATS",4,,Colbert County,AL033,33,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,"James R Dalrymple (606824) (Ended Oct 03, 2016)<br>David W Sorrick (606794) (Started Oct 03, 2016)","William W Morrison (606564) (Ended Oct 13, 2016)<br>Allen A Clare (608515) (Started Oct 13, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,12/23/54,Operating (Retired 04/30/2016),2463
AL,Colbert,47,2,CSCO14,2016,"CSNOX, CSSO2G2, ARP, MATS",4,,Colbert County,AL033,33,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,"James R Dalrymple (606824) (Ended Oct 03, 2016)<br>David W Sorrick (606794) (Started Oct 03, 2016)","William W Morrison (606564) (Ended Oct 13, 2016)<br>Allen A Clare (608515) (Started Oct 13, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,1/29/55,Operating (Retired 04/30/2016),2869
AL,Colbert,47,3,CSCO14,2016,"CSNOX, CSSO2G2, ARP, MATS",4,,Colbert County,AL033,33,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,"James R Dalrymple (606824) (Ended Oct 03, 2016)<br>David W Sorrick (606794) (Started Oct 03, 2016)","William W Morrison (606564) (Ended Oct 13, 2016)<br>Allen A Clare (608515) (Started Oct 13, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,6/16/55,Operating (Retired 04/30/2016),2805
AL,Colbert,47,4,CSCO14,2016,"CSNOX, CSSO2G2, ARP, MATS",4,,Colbert County,AL033,33,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,"James R Dalrymple (606824) (Ended Oct 03, 2016)<br>David W Sorrick (606794) (Started Oct 03, 2016)","William W Morrison (606564) (Ended Oct 13, 2016)<br>Allen A Clare (608515) (Started Oct 13, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,10/16/55,Operating (Retired 04/30/2016),2716
AL,Colbert,47,5,,2016,"CSNOX, CSSO2G2, ARP, MATS",4,,Colbert County,AL033,33,Electric Utility,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,"James R Dalrymple (606824) (Ended Oct 03, 2016)<br>David W Sorrick (606794) (Started Oct 03, 2016)","William W Morrison (606564) (Ended Oct 13, 2016)<br>Allen A Clare (608515) (Started Oct 13, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,Coal,,,Selective Catalytic Reduction<br>Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,9/1/65,Operating (Retired 04/30/2016),8070
AL,Decatur Energy Center,55292,CTG-1,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Morgan County,AL103,103,Electric Utility,34.6292,-87.0214,"Decatur Energy Center, LLC","Decatur Energy Center, LLC",Joe Bogle (607575),Kathy French (605624),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/28/02,Operating,2236
AL,Decatur Energy Center,55292,CTG-2,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Morgan County,AL103,103,Electric Utility,34.6292,-87.0214,"Decatur Energy Center, LLC","Decatur Energy Center, LLC",Joe Bogle (607575),Kathy French (605624),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/28/02,Operating,2236
AL,Decatur Energy Center,55292,CTG-3,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Morgan County,AL103,103,Electric Utility,34.6292,-87.0214,"Decatur Energy Center, LLC","Decatur Energy Center, LLC",Joe Bogle (607575),Kathy French (605624),Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/6/03,Operating,2236
AL,E B Harris Generating Plant,7897,1A,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Autauga County,AL001,1,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Larry S Monroe (607509),"Susan B Comensky (605449) (Ended Mar 21, 2016)<br>Nicholas C Sellers (608287) (Started Mar 21, 2016) (Ended Oct 27, 2016)<br>John L Pemberton (608532) (Started Oct 27, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,2/5/03,Operating,2600
AL,E B Harris Generating Plant,7897,1B,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Autauga County,AL001,1,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Larry S Monroe (607509),"Susan B Comensky (605449) (Ended Mar 21, 2016)<br>Nicholas C Sellers (608287) (Started Mar 21, 2016) (Ended Oct 27, 2016)<br>John L Pemberton (608532) (Started Oct 27, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,1/20/03,Operating,2600
AL,E B Harris Generating Plant,7897,2A,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Autauga County,AL001,1,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Larry S Monroe (607509),"Susan B Comensky (605449) (Ended Mar 21, 2016)<br>Nicholas C Sellers (608287) (Started Mar 21, 2016) (Ended Oct 27, 2016)<br>John L Pemberton (608532) (Started Oct 27, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/22/03,Operating,2600
AL,E B Harris Generating Plant,7897,2B,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,,Autauga County,AL001,1,Electric Utility,32.3814,-86.5736,Southern Company,Alabama Power Company,Larry S Monroe (607509),"Susan B Comensky (605449) (Ended Mar 21, 2016)<br>Nicholas C Sellers (608287) (Started Mar 21, 2016) (Ended Oct 27, 2016)<br>John L Pemberton (608532) (Started Oct 27, 2016)",Phase 2,,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,3/23/03,Operating,2600
AL,E C Gaston,26,1,CS0CAN,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Shelby County,AL117,117,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,"Coal, Pipeline Natural Gas","Coal, Diesel Oil",,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,5/1/60,Operating,5462
AL,E C Gaston,26,2,CS0CAN,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Shelby County,AL117,117,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,"Coal, Pipeline Natural Gas","Coal, Diesel Oil",,Low NOx Burner Technology (Dry Bottom only),Baghouse<br>Electrostatic Precipitator,,7/1/60,Operating,5324
AL,E C Gaston,26,3,CS0CBN,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Shelby County,AL117,117,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,"Coal, Pipeline Natural Gas","Coal, Diesel Oil",,Low NOx Burner Technology (Dry Bottom only),Baghouse<br>Electrostatic Precipitator,,6/1/60,Operating,5077.2
AL,E C Gaston,26,4,CS0CBN,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Shelby County,AL117,117,Electric Utility,33.2442,-86.4567,"Alabama Power Company, Georgia Power Company, Southern Company",Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Table 1,Phase 1 Group 1,Dry bottom wall-fired boiler,"Coal, Pipeline Natural Gas","Coal, Diesel Oil",,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,6/1/62,Operating,3635
AL,E C Gaston,26,5,"MS5A, MS5B",2016,"CSNOX, CSNOXOS, CSSO2G2, ARP, MATS",4,SERC,Shelby County,AL117,117,Electric Utility,33.2442,-86.4567,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Table 1,Phase 1 Group 1,Tangentially-fired,Coal,"Diesel Oil, Pipeline Natural Gas",Wet Limestone,Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction,"Baghouse (Began Mar 18, 2016)<br>Electrostatic Precipitator","Halogenated PAC Sorbent Injection (Began Mar 24, 2016)<br>Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)",8/2/74,Operating,16078
AL,Gadsden,7,1,CS0BAN,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Etowah County,AL055,55,Electric Utility,34.0128,-85.9708,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 1 Group 1,Tangentially-fired,Pipeline Natural Gas,,,,Electrostatic Precipitator,,4/8/49,Operating,1170
AL,Gadsden,7,2,CS0BAN,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Etowah County,AL055,55,Electric Utility,34.0128,-85.9708,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 1 Group 1,Tangentially-fired,Pipeline Natural Gas,,,,Electrostatic Precipitator,,7/21/49,Operating,1170
AL,Gorgas,8,10,CS0DCN,2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Walker County,AL127,127,Electric Utility,33.6446,-87.2003,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,Diesel Oil,Wet Limestone,Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction,"Baghouse (Began Mar 01, 2016)<br>Electrostatic Precipitator","Halogenated PAC Sorbent Injection (Began Mar 15, 2016)<br>Catalyst (gold, palladium, or other) used to oxidize mercury (Began Apr 16, 2016)",10/27/72,Operating,17436
AL,Gorgas,8,8,CS0DCN,2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Walker County,AL127,127,Electric Utility,33.6446,-87.2003,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,Diesel Oil,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,"Electrostatic Precipitator<br>Baghouse (Began Mar 01, 2016)","Halogenated PAC Sorbent Injection (Began Mar 15, 2016)",5/31/56,Operating,3062
AL,Gorgas,8,9,CS0DCN,2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Walker County,AL127,127,Electric Utility,33.6446,-87.2003,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Tangentially-fired,Coal,Diesel Oil,Wet Limestone,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,"Electrostatic Precipitator<br>Baghouse (Began Mar 01, 2016)","Halogenated PAC Sorbent Injection (Began Mar 15, 2016)",6/3/58,Operating,2778
AL,Greene County,10,1,CS0EBN,2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,"Alabama Power Company, Mississippi Power Company",Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 2,Cell burner boiler,"Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas",,Low NOx Cell Burner,"Electrostatic Precipitator (Retired Feb 27, 2016)",,6/11/65,Operating,3386
AL,Greene County,10,2,CS0EBN,2016,"ARP, MATS, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,"Alabama Power Company, Mississippi Power Company",Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,Phase 2 Group 1,Dry bottom wall-fired boiler,"Coal, Pipeline Natural Gas",Diesel Oil,,Low NOx Burner Technology (Dry Bottom only),"Electrostatic Precipitator (Retired Apr 01, 2016)",,7/30/66,Operating,3334
AL,Greene County,10,CT10,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/96,Operating,1294
AL,Greene County,10,CT2,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/96,Operating,1375
AL,Greene County,10,CT3,,2016,"ARP, CSNOX, CSNOXOS, CSSO2G2",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/95,Operating,1307.2
AL,Greene County,10,CT4,,2016,"CSNOXOS, CSSO2G2, ARP, CSNOX",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/95,Operating,1294
AL,Greene County,10,CT5,,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/95,Operating,1294
AL,Greene County,10,CT6,,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/95,Operating,1308.9
AL,Greene County,10,CT7,,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/95,Operating,1294
AL,Greene County,10,CT8,,2016,"CSNOX, CSNOXOS, CSSO2G2, ARP",4,SERC,Greene County,AL063,63,Electric Utility,32.6017,-87.7811,Alabama Power Company,Alabama Power Company,Larry S Monroe (607509),"Matthew W Bowden (607510) (Ended Mar 17, 2016)<br>Susan B Comensky (605449) (Started Mar 17, 2016)",Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,5/29/96,Operating,1655
